Handle,Max_Rating,Current_Rating,Title
shubh3110,1472,1303,Pupil
tourist,3739,3434,Legendary grandmaster
Petr,3597,3353,Legendary grandmaster
uwi,2846,2596,Grandmaster
utsav_deep,1854,1494,Specialist
Um_nik,3370,3179,Legendary grandmaster
dotorya,3237,3145,Legendary grandmaster
saurrv,2130,1863,Expert
Radewoosh,3266,3217,Legendary grandmaster
ketanhwr,2019,1943,Candidate Master
gvaibhav21,2371,2285,Master
Syloviaely,3274,3274,Legendary grandmaster
adkroxx,2222,2113,Master
dark_n8,1980,1929,Candidate Master
rachitjain,2018,2018,Candidate Master
praran26,2239,2131,Master
naveen_iitr,2028,1969,Candidate Master
ilikebarryallen,1684,1450,Specialist
abh_u,1536,1439,Specialist
shbhm_5301,1615,1615,Expert
kashyap2108,1443,1381,Pupil
sarwarkhan,1778,1778,Expert
joker_in,1649,1509,Specialist
salman_1,1443,1423,Specialist
vineetkumarnanu,1405,1405,Specialist
abhishek181297,1551,1551,Specialist
abhishek8298,1427,1389,Pupil
ram_mahto,1475,1460,Specialist
aditya314,1475,1475,Specialist
souravgupta,1403,1317,Pupil
hitman623,2095,2009,Candidate Master
mukesh_008,1408,1070,Newbie
gabbar97,1373,1037,Newbie
bikramhzb0805,1382,1382,Pupil
neeleshsinha,1768,1765,Expert
vikas_kumar,1672,1575,Specialist
vicky_vivek,1654,1471,Specialist
dext_r,1557,1493,Specialist
ankit1612,1375,1274,Pupil
trojancode,1413,1365,Pupil
aryankumarnit,1389,1327,Pupil
alok04,1432,1290,Pupil
chaitanya_nit,1440,1105,Newbie
alco_code,1429,1427,Specialist
bibhudhendra,1566,1566,Specialist
gasaha123,1404,1256,Pupil
chandan73200,1426,1392,Pupil
saifhaider0z,1465,1379,Pupil
SillyCodes,1413,1334,Pupil
anurag918273,1411,1188,Newbie
ck_24,1403,1324,Pupil
Nageshkb73,1396,1094,Newbie
