Rank,Handle,Max_Rating,Current_Rating,Title
1,tourist,3739,3434,Legendary grandmaster
2,Petr,3597,3353,Legendary grandmaster
3,Syloviaely,3274,3274,Legendary grandmaster
4,Radewoosh,3266,3217,Legendary grandmaster
5,Um_nik,3370,3179,Legendary grandmaster
6,dotorya,3237,3145,Legendary grandmaster
7,uwi,2846,2596,Grandmaster
8,gvaibhav21,2371,2285,Master
9,praran26,2239,2131,Master
10,adkroxx,2222,2113,Master
11,rachitjain,2018,2018,Candidate Master
12,hitman623,2095,2009,Candidate Master
13,naveen_iitr,2028,1969,Candidate Master
14,ketanhwr,2019,1943,Candidate Master
15,dark_n8,1980,1929,Candidate Master
16,saurrv,2130,1863,Expert
17,sarwarkhan,1778,1778,Expert
18,neeleshsinha,1768,1765,Expert
19,shbhm_5301,1615,1615,Expert
20,vikas_kumar,1672,1575,Specialist
21,bibhudhendra,1566,1566,Specialist
22,abhishek181297,1551,1551,Specialist
23,joker_in,1649,1509,Specialist
24,utsav_deep,1854,1494,Specialist
25,dext_r,1557,1493,Specialist
26,aditya314,1475,1475,Specialist
27,vicky_vivek,1654,1471,Specialist
28,ram_mahto,1475,1460,Specialist
29,ilikebarryallen,1684,1450,Specialist
30,abh_u,1536,1439,Specialist
31,alco_code,1429,1427,Specialist
32,salman_1,1443,1423,Specialist
33,vineetkumarnanu,1405,1405,Specialist
34,chandan73200,1426,1392,Pupil
35,abhishek8298,1427,1389,Pupil
36,bikramhzb0805,1382,1382,Pupil
37,kashyap2108,1443,1381,Pupil
38,saifhaider0z,1465,1379,Pupil
39,trojancode,1413,1365,Pupil
40,SillyCodes,1413,1334,Pupil
41,aryankumarnit,1389,1327,Pupil
42,ck_24,1403,1324,Pupil
43,souravgupta,1403,1317,Pupil
44,shubh3110,1472,1303,Pupil
45,alok04,1432,1290,Pupil
46,ankit1612,1375,1274,Pupil
47,gasaha123,1404,1256,Pupil
48,anurag918273,1411,1188,Newbie
49,chaitanya_nit,1440,1105,Newbie
50,Nageshkb73,1396,1094,Newbie
51,mukesh_008,1408,1070,Newbie
52,gabbar97,1373,1037,Newbie
